,src,tar,src_type,tar_type,is_net,arc_delay,src_id,tar_id,org_src_id,org_tar_id,src_pin_name,tar_pin_name,cell_name,libcell_name
152,_368_/A,_368_/Y,pin,pin,0,1.923551075366792e-11,223,224,223,224,A,Y,_368_,BUFx4f_ASAP7_75t_R
153,_369_/A,_369_/Y,pin,pin,0,2.2707249275333297e-11,225,228,225,228,A,Y,_369_,AND3x1_ASAP7_75t_R
154,_369_/B,_369_/Y,pin,pin,0,2.190153093606373e-11,226,228,226,228,B,Y,_369_,AND3x1_ASAP7_75t_R
155,_369_/C,_369_/Y,pin,pin,0,2.1496608312854267e-11,227,228,227,228,C,Y,_369_,AND3x1_ASAP7_75t_R
156,_370_/A,_370_/Y,pin,pin,0,2.7259668480827948e-11,229,232,229,232,A,Y,_370_,OR3x1_ASAP7_75t_R
157,_370_/B,_370_/Y,pin,pin,0,2.9542920193526e-11,230,232,230,232,B,Y,_370_,OR3x1_ASAP7_75t_R
158,_370_/C,_370_/Y,pin,pin,0,2.789703884564787e-11,231,232,231,232,C,Y,_370_,OR3x1_ASAP7_75t_R
159,_371_/A1,_371_/Y,pin,pin,0,2.3647079086530628e-11,233,236,233,236,A1,Y,_371_,AOI21x1_ASAP7_75t_R
160,_371_/A2,_371_/Y,pin,pin,0,2.5553477736584007e-11,234,236,234,236,A2,Y,_371_,AOI21x1_ASAP7_75t_R
161,_371_/B,_371_/Y,pin,pin,0,2.4996036490643192e-11,235,236,235,236,B,Y,_371_,AOI21x1_ASAP7_75t_R
162,_372_/A,_372_/Y,pin,pin,0,2.555202403831114e-11,237,238,237,238,A,Y,_372_,BUFx4f_ASAP7_75t_R
163,_373_/A1,_373_/Y,pin,pin,0,1.8736033557953388e-11,239,242,239,242,A1,Y,_373_,AO21x1_ASAP7_75t_R
164,_373_/A2,_373_/Y,pin,pin,0,1.6618196402307106e-11,240,242,240,242,A2,Y,_373_,AO21x1_ASAP7_75t_R
165,_373_/B,_373_/Y,pin,pin,0,1.823234271891572e-11,241,242,241,242,B,Y,_373_,AO21x1_ASAP7_75t_R
166,_374_/A,_374_/Y,pin,pin,0,2.072121640939173e-11,243,244,243,244,A,Y,_374_,BUFx4f_ASAP7_75t_R
167,_375_/A,_375_/Y,pin,pin,0,2.031624694864842e-11,245,246,245,246,A,Y,_375_,BUFx4f_ASAP7_75t_R
168,_376_/A,_376_/Y,pin,pin,0,1.879222992495766e-11,247,249,247,249,A,Y,_376_,AND2x2_ASAP7_75t_R
169,_376_/B,_376_/Y,pin,pin,0,1.492718101903101e-11,248,249,248,249,B,Y,_376_,AND2x2_ASAP7_75t_R
170,_377_/A1,_377_/Y,pin,pin,0,2.6147002965548616e-11,250,255,250,255,A1,Y,_377_,AO221x1_ASAP7_75t_R
171,_377_/A2,_377_/Y,pin,pin,0,2.307484585351016e-11,251,255,251,255,A2,Y,_377_,AO221x1_ASAP7_75t_R
172,_377_/B1,_377_/Y,pin,pin,0,1.937164664789215e-11,252,255,252,255,B1,Y,_377_,AO221x1_ASAP7_75t_R
173,_377_/B2,_377_/Y,pin,pin,0,2.248117143832662e-11,253,255,253,255,B2,Y,_377_,AO221x1_ASAP7_75t_R
