src,tar,is_net
_16805_/A1,_16805_/ZN,0
_16805_/A2,_16805_/ZN,0
_16805_/B1,_16805_/ZN,0
_16805_/B2,_16805_/ZN,0
_16806_/A1,_16806_/ZN,0
_16806_/A2,_16806_/ZN,0
_16806_/A3,_16806_/ZN,0
_16807_/A1,_16807_/ZN,0
_16807_/A2,_16807_/ZN,0
_16808_/A1,_16808_/ZN,0
_16808_/A2,_16808_/ZN,0
_16808_/A3,_16808_/ZN,0
_16808_/B1,_16808_/ZN,0
_16808_/B2,_16808_/ZN,0
_16808_/B3,_16808_/ZN,0
_16809_/A1,_16809_/ZN,0
_16809_/A2,_16809_/ZN,0
_16809_/A3,_16809_/ZN,0
_16809_/A4,_16809_/ZN,0
_16810_/A1,_16810_/ZN,0
_16810_/A2,_16810_/ZN,0
_16810_/A3,_16810_/ZN,0
_16810_/A4,_16810_/ZN,0
_16811_/A1,_16811_/ZN,0
_16811_/A2,_16811_/ZN,0
_16811_/A3,_16811_/ZN,0
_16811_/A4,_16811_/ZN,0
_16812_/A1,_16812_/ZN,0
_16812_/A2,_16812_/ZN,0
_16813_/A1,_16813_/ZN,0
_16813_/A2,_16813_/ZN,0
_16813_/A3,_16813_/ZN,0
_16815_/A1,_16815_/ZN,0
_16815_/A2,_16815_/ZN,0
_16816_/A,_16816_/ZN,0
_16817_/A1,_16817_/ZN,0
_16817_/A2,_16817_/ZN,0
_16817_/A3,_16817_/ZN,0
_16817_/A4,_16817_/ZN,0
_16818_/A1,_16818_/ZN,0
_16818_/A2,_16818_/ZN,0
_16819_/A,_16819_/ZN,0
_16819_/B1,_16819_/ZN,0
_16819_/B2,_16819_/ZN,0
_16821_/A1,_16821_/ZN,0
_16821_/A2,_16821_/ZN,0
_16822_/A1,_16822_/ZN,0
_16822_/A2,_16822_/ZN,0
_16822_/B1,_16822_/ZN,0
_16822_/B2,_16822_/ZN,0
_16823_/A,_16823_/ZN,0
_16823_/B1,_16823_/ZN,0
_16823_/B2,_16823_/ZN,0
_16823_/C1,_16823_/ZN,0
_16823_/C2,_16823_/ZN,0
_16824_/A1,_16824_/ZN,0
_16824_/A2,_16824_/ZN,0
_16825_/A1,_16825_/ZN,0
_16825_/A2,_16825_/ZN,0
_16826_/A1,_16826_/ZN,0
_16826_/A2,_16826_/ZN,0
_16827_/A1,_16827_/ZN,0
_16827_/A2,_16827_/ZN,0
_16827_/A3,_16827_/ZN,0
_16827_/A4,_16827_/ZN,0
_16828_/A1,_16828_/ZN,0
_16828_/A2,_16828_/ZN,0
_16829_/A,_16829_/ZN,0
_16829_/B1,_16829_/ZN,0
_16829_/B2,_16829_/ZN,0
_16830_/A1,_16830_/ZN,0
_16830_/A2,_16830_/ZN,0
_16831_/A1,_16831_/ZN,0
_16831_/A2,_16831_/ZN,0
_16832_/A1,_16832_/ZN,0
_16832_/A2,_16832_/ZN,0
_16832_/B1,_16832_/ZN,0
_16832_/B2,_16832_/ZN,0
_16833_/A1,_16833_/ZN,0
_16833_/A2,_16833_/ZN,0
_16833_/A3,_16833_/ZN,0
_16833_/B1,_16833_/ZN,0
_16833_/B2,_16833_/ZN,0
_16833_/B3,_16833_/ZN,0
_16834_/A1,_16834_/ZN,0
_16834_/A2,_16834_/ZN,0
_16835_/A,_16835_/ZN,0
_16835_/B1,_16835_/ZN,0
_16835_/B2,_16835_/ZN,0
_16836_/A1,_16836_/ZN,0
_16836_/A2,_16836_/ZN,0
_16837_/A1,_16837_/ZN,0
_16837_/A2,_16837_/ZN,0
_16837_/A3,_16837_/ZN,0
_16838_/A1,_16838_/ZN,0
_16838_/A2,_16838_/ZN,0
_16839_/A1,_16839_/ZN,0
_16839_/A2,_16839_/ZN,0
_16839_/A3,_16839_/ZN,0
_16840_/A,_16840_/ZN,0
_16840_/B1,_16840_/ZN,0
_16840_/B2,_16840_/ZN,0
_16841_/A,_16841_/ZN,0
_16841_/B1,_16841_/ZN,0
_16841_/B2,_16841_/ZN,0
_16841_/C1,_16841_/ZN,0
_16841_/C2,_16841_/ZN,0
_16842_/A1,_16842_/ZN,0
_16842_/A2,_16842_/ZN,0
_16842_/A3,_16842_/ZN,0
_16843_/A1,_16843_/ZN,0
_16843_/A2,_16843_/ZN,0
_16844_/A1,_16844_/ZN,0
_16844_/A2,_16844_/ZN,0
_16844_/A3,_16844_/ZN,0
_16844_/B1,_16844_/ZN,0
_16844_/B2,_16844_/ZN,0
_16844_/B3,_16844_/ZN,0
_16846_/A,_16846_/ZN,0
_16846_/B1,_16846_/ZN,0
_16846_/B2,_16846_/ZN,0
_16848_/A1,_16848_/ZN,0
_16848_/A2,_16848_/ZN,0
_16848_/A3,_16848_/ZN,0
_16849_/A1,_16849_/ZN,0
_16849_/A2,_16849_/ZN,0
_16849_/A3,_16849_/ZN,0
_16850_/A1,_16850_/ZN,0
_16850_/A2,_16850_/ZN,0
_16851_/A1,_16851_/ZN,0
_16851_/A2,_16851_/ZN,0
_16852_/A1,_16852_/ZN,0
_16852_/A2,_16852_/ZN,0
_16852_/A3,_16852_/ZN,0
_16853_/A1,_16853_/ZN,0
_16853_/A2,_16853_/ZN,0
_16853_/A3,_16853_/ZN,0
_16854_/A1,_16854_/ZN,0
_16854_/A2,_16854_/ZN,0
_16854_/A3,_16854_/ZN,0
_16855_/A,_16855_/ZN,0
_16855_/B1,_16855_/ZN,0
_16855_/B2,_16855_/ZN,0
_16856_/A1,_16856_/ZN,0
