cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_102_656,0,0,0,269420,308000,269800,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_662,0,0,0,271700,308000,272080,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_671,0,0,0,275120,308000,275500,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_695,0,0,0,284240,308000,284620,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_726,0,0,0,296020,308000,296400,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_735,0,0,0,299440,308000,299820,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_749,0,0,0,304760,308000,305140,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_782,0,0,0,317300,308000,323380,310800,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_102_798,0,0,0,323380,308000,324900,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_823,0,0,0,332880,308000,335920,310800,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_102_831,0,0,0,335920,308000,336300,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_833,0,0,0,336680,308000,337060,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_838,0,0,0,338580,308000,340100,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_84,0,0,0,52060,308000,52440,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_842,0,0,0,340100,308000,340480,310800,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_102_847,0,0,0,342000,308000,342380,310800,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_102_857,0,0,0,345800,308000,347320,310800,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_102_861,0,0,0,347320,308000,347700,310800,0,0,FILLCELL_X2,0.0,0.0
