pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_374_/ZN,19110,40383,0,-1,0,0,1,-1,0.1985349953174591,0,_374_,_065_,1.3202782617183217e-11,-0.076650,2.208003779813339e-10,2.409697441585479e-10,None
_375_/A1,19243,31870,0,-1,0,0,0,-1,0.1985349953174591,0,_375_,_062_,1.3228685508126503e-11,-0.069439,2.2002789867858752e-10,2.383470643074759e-10,6.773058828878466e-15
_375_/A2,19228,32357,0,-1,0,0,0,-1,0.1985349953174591,0,_375_,_065_,1.3203115684090605e-11,-0.076650,2.2108728736647265e-10,2.412292032794028e-10,6.683365663060761e-15
_375_/ZN,19225,31806,0,-1,0,0,1,-1,0.1985349953174591,0,_375_,_066_,1.4623696351079296e-11,-0.076650,2.7008739689193817e-10,2.314814312454061e-10,None
_376_/A1,23050,32025,0,-1,0,0,0,-1,0.1985349953174591,0,_376_,_066_,1.462381951644609e-11,-0.076650,2.702471024740305e-10,2.3163436446704821e-10,5.9549651857835825e-15
_376_/A2,21790,32025,0,-1,0,0,0,-1,0.1985349953174591,0,_376_,_058_,1.7363414525628507e-11,-0.076759,2.6866908697797953e-10,2.495451623119038e-10,6.2018498789197934e-15
_376_/ZN,22910,32416,0,-1,0,0,1,-1,0.1985349953174591,0,_376_,_067_,9.454655808260881e-12,-0.076759,2.6771471151043613e-10,2.8384661288072266e-10,None
_377_/A,21125,23975,0,-1,0,0,0,-1,0.1985349953174591,0,_377_,dpath.a_lt_b$in1\[4\],1.622999824812954e-11,-0.066665,1.4948532689462724e-10,1.4074845455791518e-10,1.700229965024007e-15
_377_/ZN,21455,23800,0,-1,0,0,1,-1,0.1985349953174591,0,_377_,_068_,2.1928417415217893e-11,-0.066665,1.7114148986863142e-10,1.6913187517175743e-10,None
_378_/A1,14250,26425,0,-1,0,0,0,-1,0.1985349953174591,0,_378_,_068_,2.1928896198897263e-11,-0.066665,1.714550723619368e-10,1.6943099701016706e-10,3.0531029415655766e-15
_378_/A2,14218,26580,0,-1,0,0,0,-1,0.1985349953174591,0,_378_,dpath.a_lt_b$in0\[4\],1.6540002006903975e-11,-0.070885,1.7637048765895003e-10,1.5098636230170825e-10,3.4509930686482584e-15
_378_/ZN,14015,26714,0,-1,0,0,1,-1,0.1985349953174591,0,_378_,_069_,1.1512368315591548e-11,-0.070885,1.8723095296380166e-10,1.9354698399531856e-10,None
_379_/A,10485,37625,0,-1,0,0,0,-1,0.1985349953174591,0,_379_,dpath.a_lt_b$in0\[5\],2.521633596375139e-11,-0.068747,1.5927192897891018e-10,1.465807475398151e-10,1.700229965024007e-15
_379_/ZN,10815,37800,0,-1,0,0,1,-1,0.1985349953174591,0,_379_,_070_,1.5781325898855947e-11,-0.068747,1.717616049390358e-10,1.7725002021684588e-10,None
_380_/A,11650,32025,0,-1,0,0,0,-1,0.1985349953174591,0,_380_,_069_,1.1512510562916578e-11,-0.070885,1.873789873263476e-10,1.9368177894829586e-10,3.1807179841900936e-15
_380_/B1,13095,32025,0,-1,0,0,0,-1,0.1985349953174591,0,_380_,net79,1.0893060758965234e-11,-0.058975,1.8407200763626008e-10,1.7295409548978569e-10,3.100792802320125e-15
_380_/B2,12995,32200,0,-1,0,0,0,-1,0.1985349953174591,0,_380_,_070_,1.5781610393506007e-11,-0.068747,1.719693693003066e-10,1.7745645231048712e-10,3.328943032487202e-15
_380_/ZN,13005,32488,0,-1,0,0,1,-1,0.1985349953174591,0,_380_,_071_,2.2184911893652348e-11,-0.070885,2.1644787351338124e-10,2.0769785891161519e-10,None
_381_/A,16945,29575,0,-1,0,0,0,-1,0.1985349953174591,0,_381_,dpath.a_lt_b$in1\[5\],1.4897957867354705e-11,-0.059267,1.4821627258854164e-10,1.399095561627206e-10,1.700229965024007e-15
_381_/ZN,17275,29400,0,-1,0,0,1,-1,0.1985349953174591,0,_381_,_072_,2.4462336670194595e-11,-0.059267,1.7285384235066203e-10,1.6808568426007753e-10,None
_382_/A1,14630,35320,0,-1,0,0,0,-1,0.1985349953174591,0,_382_,_072_,2.446255524535257e-11,-0.059267,1.7307988375847572e-10,1.6828582971584183e-10,3.293307085846793e-15
_382_/A2,14745,35060,0,-1,0,0,0,-1,0.1985349953174591,0,_382_,dpath.a_lt_b$in0\[5\],2.5216479945799897e-11,-0.043344,1.5940103403888628e-10,1.467027471724336e-10,3.346923212616806e-15
_382_/ZN,14321,34912,0,-1,0,0,1,-1,0.1985349953174591,0,_382_,_073_,1.9018104799317648e-11,-0.059267,1.9668451589627267e-10,1.8524026756949752e-10,None
_383_/A,14665,37625,0,-1,0,0,0,-1,0.1985349953174591,0,_383_,_073_,1.9018123881275883e-11,-0.059267,1.9675147622244538e-10,1.853023845477253e-10,1.700229965024007e-15
_383_/ZN,14995,37800,0,-1,0,0,1,-1,0.1985349953174591,0,_383_,_074_,1.0896847660313291e-11,-0.059267,2.0297162561799809e-10,2.0942964029657674e-10,None
_384_/A1,17670,35175,0,-1,0,0,0,-1,0.1985349953174591,0,_384_,_071_,2.218497607842096e-11,-0.070885,2.1658536075719326e-10,2.078286015505526e-10,3.0531029415655766e-15
_384_/A2,17638,35020,0,-1,0,0,0,-1,0.1985349953174591,0,_384_,_074_,1.0896949141636636e-11,-0.059267,2.0307816539499868e-10,2.095270623669876e-10,3.4509930686482584e-15
_384_/ZN,17435,34885,0,-1,0,0,1,-1,0.1985349953174591,0,_384_,_075_,1.295961688657643e-11,-0.070885,2.2971714808139865e-10,2.366379314722167e-10,None
_385_/A1,20383,35330,0,-1,0,0,0,-1,0.1985349953174591,0,_385_,_065_,1.3202974304127313e-11,-0.071496,2.2104891528318404e-10,2.4118862462785273e-10,6.773058828878466e-15
_385_/A2,20368,34842,0,-1,0,0,0,-1,0.1985349953174591,0,_385_,_075_,1.295966459147202e-11,-0.070885,2.2980471692246596e-10,2.3672100391003426e-10,6.683365663060761e-15
_385_/ZN,20365,35393,0,-1,0,0,1,-1,0.1985349953174591,0,_385_,_076_,1.5323187163573948e-11,-0.071496,2.662624842830752e-10,2.40048259048109e-10,None
_386_/A,16185,48825,0,-1,0,0,0,-1,0.1985349953174591,0,_386_,dpath.a_lt_b$in1\[7\],1.657239102892394e-11,-0.036362,1.500272545085224e-10,1.411800260031626e-10,1.700229965024007e-15
_386_/ZN,16515,49000,0,-1,0,0,1,-1,0.1985349953174591,0,_386_,_077_,1.8059255479929703e-11,-0.036362,1.6741175112855444e-10,1.67288446983882e-10,None
_387_/A1,21415,48825,0,-1,0,0,0,-1,0.1985349953174591,0,_387_,_077_,1.8059352624444358e-11,-0.036362,1.6754303500121637e-10,1.6741118213925432e-10,1.5990320800793388e-15
_387_/A2,20765,48825,0,-1,0,0,0,-1,0.1985349953174591,0,_387_,dpath.a_lt_b$in0\[7\],2.4868039918968243e-11,-0.019450,1.5913848017135024e-10,1.4643340706665953e-10,1.664198983392822e-15
_387_/ZN,21270,48586,0,-1,0,0,1,-1,0.1985349953174591,0,_387_,_078_,1.3262166538574593e-11,-0.036362,1.8643847576882422e-10,1.8652132616203687e-10,None
_388_/A,18485,43225,0,-1,0,0,0,-1,0.1985349953174591,0,_388_,_063_,3.2522103066146e-11,-0.065300,2.0795559718678192e-10,1.9156236319428643e-10,3.2508910639800865e-15
_388_/ZN,18810,43400,0,-1,0,0,1,-1,0.1985349953174591,0,_388_,_079_,1.0499962010968034e-11,-0.065300,2.1115793835679852e-10,2.2050215819913177e-10,None
_389_/A,9345,46375,0,-1,0,0,0,-1,0.1985349953174591,0,_389_,dpath.a_lt_b$in1\[6\],1.6970282817885263e-11,-0.045502,1.505401636681114e-10,1.4155987493325028e-10,1.700229965024007e-15
_389_/ZN,9675,46200,0,-1,0,0,1,-1,0.1985349953174591,0,_389_,_080_,1.9403386883332097e-11,-0.045502,1.6939717684127942e-10,1.6928586310527294e-10,None
_390_/A1,13435,46375,0,-1,0,0,0,-1,0.1985349953174591,0,_390_,_080_,1.9403508313975415e-11,-0.045502,1.6954834758386994e-10,1.6943341174524562e-10,1.5990320800793388e-15
_390_/A2,12785,46375,0,-1,0,0,0,-1,0.1985349953174591,0,_390_,net56,7.257502324803378e-12,-0.070468,1.9798894468348038e-10,1.756700201971384e-10,1.664198983392822e-15
_390_/ZN,13290,46613,0,-1,0,0,1,-1,0.1985349953174591,0,_390_,_081_,1.8011475991230874e-11,-0.070468,2.0042199844194641e-10,2.1912627268250162e-10,None
