,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
74,CKINVDCx8_ASAP7_75t_R,36,320760,5.398589900313701e-15,0.0,9.419474748806334e-12,3.0489692801755064e-12,74,37,15,49,21,INVxp33_ASAP7_75t_R
75,CKINVDCx9p33_ASAP7_75t_R,36,408240,6.780630032877499e-15,0.0,1.080844268253056e-11,3.4409189907103066e-12,75,37,8,48,21,INVxp33_ASAP7_75t_R
76,DECAPx10_ASAP7_75t_R,37,320760,,,,,76,38,0,0,1,DECAPx10_ASAP7_75t_R
77,DECAPx1_ASAP7_75t_R,38,58320,,,,,77,39,0,0,1,DECAPx1_ASAP7_75t_R
78,DECAPx2_ASAP7_75t_R,39,87480,,,,,78,40,0,0,1,DECAPx2_ASAP7_75t_R
79,DECAPx2b_ASAP7_75t_R,40,87480,,,,,79,41,0,0,1,DECAPx2b_ASAP7_75t_R
80,DECAPx4_ASAP7_75t_R,41,145800,,,,,80,42,0,0,1,DECAPx4_ASAP7_75t_R
81,DECAPx6_ASAP7_75t_R,42,204120,,,,,81,43,0,0,1,DECAPx6_ASAP7_75t_R
82,DFFHQNx1_ASAP7_75t_R,43,291600,6.213500181834566e-16,1.6299299410160728e-10,3.7932549462604825e-11,4.0444685794893687e-11,82,44,2,49,3,DFFHQNx3_ASAP7_75t_R
83,DFFHQNx2_ASAP7_75t_R,43,306180,6.215529884534424e-16,1.824369960656824e-10,4.0202247780785066e-11,4.203940320857136e-11,83,44,1,38,3,DFFHQNx3_ASAP7_75t_R
84,DFFHQNx3_ASAP7_75t_R,43,320760,6.216409740008384e-16,2.018819972304797e-10,4.584456078648991e-11,4.7307990858058695e-11,84,44,0,0,3,DFFHQNx3_ASAP7_75t_R
85,DFFHQx4_ASAP7_75t_R,44,364500,6.212170340107378e-16,2.9374300214435323e-10,4.686981358581477e-11,4.755806859435552e-11,85,45,0,0,1,DFFHQx4_ASAP7_75t_R
86,DFFLQNx1_ASAP7_75t_R,45,291600,6.206169641071672e-16,1.2011200367645358e-10,4.00712414638793e-11,4.2630600438631205e-11,86,46,2,49,3,DFFLQNx3_ASAP7_75t_R
87,DFFLQNx2_ASAP7_75t_R,45,306180,6.206979616327484e-16,1.3955700484125086e-10,4.212312443296895e-11,4.3937752741696195e-11,87,46,1,39,3,DFFLQNx3_ASAP7_75t_R
